lat,lon
25.8886,88.5645
25.8889,88.5628
25.8886,88.5642
25.8886,88.5631
25.8889,88.5623
25.8889,88.5631
25.8897,88.5664
25.89,88.5653
25.8897,88.5642
25.8895,88.5667
25.8892,88.5667
25.8895,88.5648
25.8892,88.5653
25.8892,88.55
25.8892,88.5661
25.89,88.562
25.8897,88.5659
25.8903,88.5645
25.8903,88.5622
25.89,88.5636
25.89,88.5631
25.8903,88.5658
25.8903,88.565
25.5306,88.5439
6.230772,80.110645
23.9518,90.2814
23.9581,90.2818
23.9514,90.2797
4.01533,9.74719
24.308,116.929
23.08294,120.347655
23.9553,90.2799
21.92,100.96
21.64,101.45
21.89,100.31
27.0683,110.463
22.1366,92.231
22.0578,92.2722
22.0577,92.2713
22.0576,92.2715
22.0577,92.2726
22.0576,92.2718
22.0575,92.2721
22.058,92.2711
22.058,92.2712
22.0579,92.272
22.0581,92.2711
22.0584,92.2717
22.0581,92.2732
22.0583,92.271
22.0584,92.273
22.0583,92.2729
22.0589,92.2728
22.0586,92.2709
22.0591,92.2726
22.0585,92.2707
22.0585,92.2727
22.0596,92.2727
22.06,92.2726
24.697,90.1023
24.6992,90.0966
24.7024,90.0843
24.702,90.0885
24.7002,90.0938
24.7023,90.0825
24.7024,90.0863
24.7008,90.0922
24.6994,90.0953
24.704,90.0778
24.7031,90.0811
24.703,90.0788
24.7089,90.0691
22.1937,92.2232
22.2065,92.2695
22.2065,92.2659
22.2057,92.2692
22.2068,92.268
22.2072,92.2708
22.2071,92.2663
22.2068,92.2696
22.2084,92.266
22.2079,92.2651
22.2082,92.2645
22.2083,92.2644
22.2076,92.2654
22.209,92.2653
22.2062,92.2686
22.2075,92.2658
22.209,92.2645
22.2089,92.2666
22.2087,92.2656
22.21,92.2648
22.2088,92.2644
22.2095,92.2652
22.2091,92.2636
22.2093,92.2667
22.2092,92.2639
22.1365,92.2311
24.3266,89.6888
23.9535,90.2816
23.9542,90.2796
23.9524,90.2773
23.9534,90.2781
23.9541,90.2805
23.957,90.2811
23.9581,90.2783
-1.35,38
-2.72,33.02
-6.96,37.53
14.61,33.79
-2.71719,33.0223
-6.96069,37.5331
14.6082,33.791
-2.71703,33.0223
0.4531,32.7602
23.113243,120.299145
21.6787,92.0796
21.6787,92.0786
21.9252,92.0589
21.9255,92.0591
21.9245,92.0591
21.9242,92.0591
21.9249,92.059
21.9246,92.0589
21.9238,92.0585
21.9309,92.0589
21.9308,92.0586
21.9291,92.0594
21.9292,92.0593
21.9314,92.0587
21.9311,92.061
21.9294,92.0598
21.9311,92.0601
21.9297,92.0596
21.9289,92.0592
22.3576,91.8305
22.3578,91.8306
22.3567,91.8337
22.3573,91.8305
22.3574,91.8329
22.3575,91.8306
22.3583,91.8304
22.3586,91.8321
22.3587,91.8321
22.3587,91.8322
22.3581,91.8324
21.932,92.0583
21.9316,92.061
21.9329,92.0614
21.9322,92.0593
21.9322,92.0577
21.9325,92.0611
21.9326,92.0617
21.9319,92.0591
22.6054,91.6852
22.6064,91.6862
22.6137,91.6913
22.614,91.6925
22.6143,91.6902
22.6147,91.6897
22.6094,91.6871
22.613,91.6894
22.6111,91.6877
22.6128,91.6887
22.6081,91.6873
22.6019,91.6792
22.6015,91.6789
22.6014,91.6793
22.6032,91.6811
22.6043,91.6837
22.6035,91.6826
22.6022,91.678
22.6038,91.6859
22.6028,91.6801
22.6028,91.6785
21.6298,92.0775
21.6294,92.0777
21.6779,92.0783
21.678,92.0774
21.678,92.078
21.6782,92.0787
21.6775,92.0782
21.6783,92.0786
21.6784,92.0788
21.6791,92.0778
21.6787,92.0792
21.6788,92.0788
21.679,92.0782
0.27,32.56
0.271632,32.5571
5.7075,117.818
23.8672,90.2721
29.5858,111.399
24.1299,112.034
25.7172,100.537
-15.359746,28.445742
25.8722,100.342
21.9588,96.0891
-2.5464,120.792
11.084,108.06
29.6967,110.473
13.058977,80.249838
11.4213,107.43
23.8522,120.898
24.3013,91.7025
22.707,89.0471
22.7109,89.0461
22.7095,89.0465
22.6932,89.08
22.8075,89.1805
22.7599,89.0492
22.7985,89.1782
22.7754,89.1764
22.3567,91.8332
22.3579,91.8326
22.3572,91.8331
22.3569,91.8334
22.3568,91.8337
22.3577,91.8328
22.3576,91.8329
22.3578,91.8325
22.3573,91.8329
22.3585,91.8298
22.3581,91.8306
22.3582,91.83
22.3584,91.8322
22.3584,91.8323
24.1708,91.6289
24.1713,91.6295
24.1982,91.5213
24.1709,91.6272
24.1726,91.6247
24.1737,91.6299
24.1724,91.6294
24.1751,91.6293
24.1725,91.6255
24.1781,91.6246
24.3196,91.7868
24.3194,91.7889
24.3209,91.7844
24.3213,91.7889
24.3225,91.7846
24.3231,91.7846
24.3224,91.789
24.3196,91.7874
24.3211,91.7849
24.3207,91.7853
24.3203,91.7859
24.3205,91.7887
24.3246,91.7849
24.3245,91.7851
24.3239,91.7848
24.324,91.7875
24.3239,91.7884
24.3233,91.7889
25.1358,92.1314
25.1358,92.1308
25.1361,92.1324
25.1359,92.1321
25.1366,92.1328
25.1361,92.1298
25.1363,92.1332
25.1367,92.1298
25.1362,92.1299
23.9535,90.2817
23.9582,90.2783
23.9581,90.2819
23.957,90.2812
-6.8328,107.953
12.24,-1.56
21.31,-157.81
7.54,-5.55
24.81,113.6
-6.32,143.96
-6.85,108.23
-1.29,37.41
9.31,2.32
9.95,-9.7
9.08,8.68
14.5,-14.45
4.489,100.895
24.81,113.598
-1.29,37.415
12.238,-1.562
9.946,-9.697
21.311,-157.811
